date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:51:54	743/743	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2018%20Jul%202018%2010:06:54%20GMT	http://demo.iamarif.com/robots.txt		(from )
15:52:17	137429/137429	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jul%202018%2010:06:55%20GMT	http://demo.iamarif.com/consta-wp/	D:/themes/construction/demo.iamarif.com/consta-wp/index.html	(from )
15:52:18	1683/1683	---MCZ	200	added ('OK')	text/css	date:Sat,%2002%20Jun%202018%2009:42:45%20GMT	http://demo.iamarif.com/consta-wp/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.2	D:/themes/construction/demo.iamarif.com/consta-wp/wp-content/plugins/contact-form-7/includes/css/stylesce52.css	(from http://demo.iamarif.com/consta-wp/)
15:52:19	27466/27466	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Apr%202017%2008:15:11%20GMT	http://demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/css/font-awesome.min.css?ver=4.9.7	D:/themes/construction/demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/css/font-awesome.min37cb.css	(from http://demo.iamarif.com/consta-wp/)
15:52:20	51284/51284	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Apr%202017%2008:15:12%20GMT	http://demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/css/ionicons.min.css?ver=4.9.7	D:/themes/construction/demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/css/ionicons.min37cb.css	(from http://demo.iamarif.com/consta-wp/)
15:52:21	121200/121200	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Apr%202017%2008:15:11%20GMT	http://demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/css/bootstrap.min.css?ver=4.9.7	D:/themes/construction/demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/css/bootstrap.min37cb.css	(from http://demo.iamarif.com/consta-wp/)
15:52:21	4614/4614	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Apr%202017%2008:15:10%20GMT	http://demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/css/owl.carousel.css?ver=4.9.7	D:/themes/construction/demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/css/owl.carousel37cb.css	(from http://demo.iamarif.com/consta-wp/)
15:52:21	25983/25983	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Apr%202017%2008:15:10%20GMT	http://demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/css/aos.css?ver=4.9.7	D:/themes/construction/demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/css/aos37cb.css	(from http://demo.iamarif.com/consta-wp/)
15:52:22	7077/7077	---MC-	200	added ('OK')	application/rss+xml	etag:%22e4d41ea6edeb09f06345b84d9c927a40%22	http://demo.iamarif.com/consta-wp/comments/feed/	D:/themes/construction/demo.iamarif.com/consta-wp/comments/feed/index.html	(from http://demo.iamarif.com/consta-wp/)
15:52:22	1401/1401	---MCZ	200	added ('OK')	text/css	date:Sat,%2002%20Jun%202018%2009:43:34%20GMT	http://demo.iamarif.com/consta-wp/wp-content/plugins/jetpack/modules/widgets/social-icons/social-icons.css?ver=20170506	D:/themes/construction/demo.iamarif.com/consta-wp/wp-content/plugins/jetpack/modules/widgets/social-icons/social-iconsf4df.css	(from http://demo.iamarif.com/consta-wp/)
15:52:25	468237/468237	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Apr%202017%2008:15:12%20GMT	http://demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/css/style.css?ver=4.9.7	D:/themes/construction/demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/css/style37cb.css	(from http://demo.iamarif.com/consta-wp/)
15:52:25	68958/68958	---MCZ	200	added ('OK')	text/css	date:Sat,%2002%20Jun%202018%2009:42:46%20GMT	http://demo.iamarif.com/consta-wp/wp-content/plugins/kingcomposer/assets/frontend/css/kingcomposer.min.css?ver=2.7.4	D:/themes/construction/demo.iamarif.com/consta-wp/wp-content/plugins/kingcomposer/assets/frontend/css/kingcomposer.minae29.css	(from http://demo.iamarif.com/consta-wp/)
15:52:25	49302/49302	---MCZ	200	added ('OK')	text/css	date:Sat,%2002%20Jun%202018%2009:42:46%20GMT	http://demo.iamarif.com/consta-wp/wp-content/plugins/kingcomposer/assets/css/icons.css?ver=2.7.4	D:/themes/construction/demo.iamarif.com/consta-wp/wp-content/plugins/kingcomposer/assets/css/iconsae29.css	(from http://demo.iamarif.com/consta-wp/)
15:52:26	23292/23292	---MC-	200	added ('OK')	application/rss+xml	etag:%22eb85d77c635e5151a342a9cd99aa4a86%22	http://demo.iamarif.com/consta-wp/feed/	D:/themes/construction/demo.iamarif.com/consta-wp/feed/index.html	(from http://demo.iamarif.com/consta-wp/)
15:52:26	66213/66213	---MCZ	200	added ('OK')	text/css	date:Sat,%2002%20Jun%202018%2009:43:34%20GMT	http://demo.iamarif.com/consta-wp/wp-content/plugins/jetpack/css/jetpack.css?ver=6.1.1	D:/themes/construction/demo.iamarif.com/consta-wp/wp-content/plugins/jetpack/css/jetpack6a4d.css	(from http://demo.iamarif.com/consta-wp/)
15:52:27	10056/10056	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2011%20Jan%202017%2008:03:37%20GMT	http://demo.iamarif.com/consta-wp/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/themes/construction/demo.iamarif.com/consta-wp/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://demo.iamarif.com/consta-wp/)
15:52:28	20106/20106	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2020%20Mar%202017%2006:38:17%20GMT	http://demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/scripts/vendor/modernizr-2.8.3-respond-1.4.2.min.js?ver=4.9.7	D:/themes/construction/demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/scripts/vendor/modernizr-2.8.3-respond-1.4.2.min37cb.js	(from http://demo.iamarif.com/consta-wp/)
15:52:29	40401/40401	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2020%20Mar%202017%2006:38:08%20GMT	http://demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/scripts/plugin/owl-carousel/owl.carousel.min.js?ver=4.9.7	D:/themes/construction/demo.iamarif.com/consta-wp/wp-content/themes/consta/assets/scripts/plugin/owl-carousel/owl.carousel.min37cb.js	(from http://demo.iamarif.com/consta-wp/)
15:52:29	97184/97184	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2011%20Jan%202017%2008:03:37%20GMT	http://demo.iamarif.com/consta-wp/wp-includes/js/jquery/jquery.js?ver=1.12.4	D:/themes/construction/demo.iamarif.com/consta-wp/wp-includes/js/jquery/jqueryb8ff.js	(from http://demo.iamarif.com/consta-wp/)
